rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
359,4.8993000984191895,60.84980010986328,19687.029293981483,8.331,205,AA,184
360,5.076000213623047,60.817298889160156,19687.0784375,8.109,205,AA,192
361,5.236499786376953,60.760799407958984,19687.13505787037,8.064,205,AA,197
362,5.411300182342529,60.698699951171875,19687.2084375,7.985,205,AA,207
363,5.340799808502197,60.82429885864258,19687.282349537036,8.014,205,AA,203
364,5.364500045776367,60.86669921875,19687.31769675926,8.022,205,AA,205
365,5.465799808502197,60.880699157714844,19687.35542824074,8.044,205,AA,210
366,5.307000160217285,61.08150100708008,19649.426550925924,7.765000000000001,206,AA,200
367,5.307000160217285,61.08150100708008,19649.456597222223,,206,AA,200
368,5.559700012207031,60.87070083618164,19650.209328703702,,206,AA,215
369,5.386199951171875,60.87179946899414,19650.403171296297,8.044,206,AA,206
370,5.47130012512207,60.88199996948242,19650.647696759257,8.063,206,AA,211
371,5.347499847412109,60.84880065917969,19650.99832175926,8.025,206,AA,204
372,5.316699981689453,60.80619812011719,19651.030208333334,,206,AA,201
373,5.317299842834473,60.80619812011719,19651.379756944447,,206,AA,202
